date,numerator,denominator
2025-06-04,18022,1
2025-06-05,18906,1
2025-06-06,19831,1
2025-06-07,20814,1
2025-06-08,19134,1
2025-06-09,17608,1
2025-06-10,18491,1
2025-06-11,19396,1
2025-06-12,20334,1
2025-06-13,21325,1
2025-06-14,22369,1
2025-06-15,20570,1
2025-06-16,18907,1
2025-06-17,19828,1
2025-06-18,20799,1
2025-06-19,21813,1
2025-06-20,22883,1
2025-06-21,23993,1
2025-06-22,22046,1
2025-06-23,20265,1
2025-06-24,21282,1
2025-06-25,22350,1
2025-06-26,23442,1
2025-06-27,24587,1
2025-06-28,25813,1
2025-06-29,23747,1
2025-06-30,21837,1
2025-07-01,22902,1
2025-07-02,24035,1
2025-07-03,25230,1
2025-07-04,26479,1
2025-07-05,27809,1
2025-07-06,25570,1
2025-07-07,23517,1
2025-07-08,24677,1
2025-07-09,25879,1
2025-07-10,27138,1
2025-07-11,28468,1
2025-07-12,29881,1
2025-07-13,27473,1
2025-07-14,25253,1
2025-07-15,26486,1
2025-07-16,27774,1
2025-07-17,29158,1
2025-07-18,30583,1
2025-07-19,32094,1
2025-07-20,29498,1
2025-07-21,27118,1
2025-07-22,28449,1
2025-07-23,29836,1
2025-07-24,31308,1
2025-07-25,32851,1
2025-07-26,34484,1
2025-07-27,31715,1
2025-07-28,29164,1
2025-07-29,30622,1
2025-07-30,32121,1
2025-07-31,33703,1
2025-08-01,35354,1
2025-08-02,37102,1
2025-08-03,34105,1
2025-08-04,31372,1
2025-08-05,32927,1
2025-08-06,34563,1
2025-08-07,36297,1
2025-08-08,38111,1
2025-08-09,40015,1
2025-08-10,36792,1
2025-08-11,33847,1
2025-08-12,35526,1
2025-08-13,37279,1
2025-08-14,39145,1
2025-08-15,41090,1
2025-08-16,43124,1
2025-08-17,39676,1
2025-08-18,36483,1
2025-08-19,38290,1
2025-08-20,40179,1
2025-08-21,42158,1
2025-08-22,44240,1
2025-08-23,46432,1
2025-08-24,42706,1
2025-08-25,39264,1
2025-08-26,41211,1
2025-08-27,43252,1
2025-08-28,45406,1
2025-08-29,47669,1
2025-08-30,50045,1
2025-08-31,46028,1
2025-09-01,42349,1
2025-09-02,44463,1
2025-09-03,46685,1
2025-09-04,48995,1
2025-09-05,51441,1
2025-09-06,53984,1
2025-09-07,49671,1
2025-09-08,45695,1
2025-09-09,47975,1
2025-09-10,50381,1
2025-09-11,52902,1
2025-09-12,55536,1
2025-09-13,58319,1
2025-09-14,53651,1
2025-09-15,49370,1
2025-09-16,51823,1
2025-09-17,54423,1
2025-09-18,57158,1
2025-09-19,60020,1
2025-09-20,63000,1
2025-09-21,57956,1
2025-09-22,53310,1
2025-09-23,55989,1
2025-09-24,58801,1
2025-09-25,61721,1
2025-09-26,64808,1
2025-09-27,68046,1
2025-09-28,62584,1
2025-09-29,57560,1
2025-09-30,60425,1
2025-10-01,63438,1
2025-10-02,66613,1
2025-10-03,69933,1
2025-10-04,73442,1
2025-10-05,67547,1
2025-10-06,62136,1
2025-10-07,65223,1
2025-10-08,68481,1
2025-10-09,71892,1
2025-10-10,75506,1
2025-10-11,79296,1
2025-10-12,72959,1
2025-10-13,67116,1
2025-10-14,70468,1
2025-10-15,73998,1
2025-10-16,77708,1
2025-10-17,81605,1
2025-10-18,85682,1
2025-10-19,78837,1
2025-10-20,72545,1
2025-10-21,76178,1
2025-10-22,80003,1
2025-10-23,83999,1
2025-10-24,88202,1
2025-10-25,92609,1
2025-10-26,85207,1
2025-10-27,78404,1
2025-10-28,82326,1
2025-10-29,86449,1
2025-10-30,90773,1
2025-10-31,95309,1
2025-11-01,100081,1
2025-11-02,92063,1
2025-11-03,84693,1
2025-11-04,88945,1
2025-11-05,93387,1
2025-11-06,98047,1
2025-11-07,102939,1
2025-11-08,108096,1
2025-11-09,99453,1
2025-11-10,91489,1
2025-11-11,96084,1
2025-11-12,100878,1
2025-11-13,105920,1
2025-11-14,111234,1
2025-11-15,116812,1
2025-11-16,107474,1
2025-11-17,98890,1
2025-11-18,103831,1
2025-11-19,109030,1
2025-11-20,114488,1
2025-11-21,120242,1
2025-11-22,126271,1
2025-11-23,116181,1
2025-11-24,106881,1
2025-11-25,112236,1
2025-11-26,117875,1
2025-11-27,123761,1
2025-11-28,129980,1
2025-11-29,136494,1
2025-11-30,125585,1
2025-12-01,115555,1
2025-12-02,121347,1
2025-12-03,127407,1
2025-12-04,133810,1
2025-12-05,140512,1
2025-12-06,147537,1
2025-12-07,135744,1
2025-12-08,124901,1
2025-12-09,131162,1
2025-12-10,137717,1
2025-12-11,144636,1
2025-12-12,151862,1
2025-12-13,159465,1
2025-12-14,146711,1
2025-12-15,134983,1
2025-12-16,141755,1
2025-12-17,148868,1
2025-12-18,156343,1
2025-12-19,164156,1
2025-12-20,172398,1
2025-12-21,158613,1
2025-12-22,145922,1
2025-12-23,153215,1
2025-12-24,160892,1
2025-12-25,168954,1
2025-12-26,177422,1
2025-12-27,186296,1
2025-12-28,171420,1
2025-12-29,157724,1
2025-12-30,165615,1
2025-12-31,173907,1
2026-01-01,182614,1
2026-01-02,191750,1
2026-01-03,201351,1
2026-01-04,185255,1
2026-01-05,170444,1
2026-01-06,178967,1
2026-01-07,187947,1
2026-01-08,197363,1
2026-01-09,207228,1
2026-01-10,217591,1
2026-01-11,200214,1
2026-01-12,184204,1
2026-01-13,193431,1
2026-01-14,203103,1
2026-01-15,213281,1
2026-01-16,223949,1
2026-01-17,235171,1
2026-01-18,216383,1
2026-01-19,199102,1
